A/C,RO,RU,U,R,UO,O,N
crab MR,0.216216216,0.054054054,0.162162162,0.189189189,0.216216216,0,0.162162162
crab KR,0.096579477,0.114688129,0.247484909,0.185110664,0.07444668,0.160965795,0.120724346
crab NR,0.085714286,0.123809524,0.285714286,0.219047619,0.104761905,0.171428571,0.00952381
prawns HR,0.076923077,0.230769231,0.230769231,0.192307692,0.076923077,0.192307692,0
prawns LR,0.093023256,0.139534884,0.279069767,0.220930233,0.104651163,0.104651163,0.058139535
prawns MR,0.2,0.088888889,0.288888889,0.155555556,0.088888889,0.133333333,0.044444444
prawns KR,0.095367847,0.114441417,0.231607629,0.166212534,0.081743869,0.166212534,0.144414169
prawns NR,0.099009901,0.133663366,0.257425743,0.217821782,0.094059406,0.158415842,0.03960396
shark HR,0,0,1,0,0,0,0
shark LR,0.25,0.5,0,0,0,0.25,0
shark MR,0,0.5,0.5,0,0,0,0
shark KR,0.104105572,0.120234604,0.249266862,0.183284457,0.089442815,0.15542522,0.098240469
shark NR,0.054054054,0.162162162,0.216216216,0.297297297,0.081081081,0.162162162,0.027027027
avaraikai HR,0.111111111,0.333333333,0.333333333,0,0.111111111,0.111111111,0
avaraikai LR,0.12345679,0.172839506,0.259259259,0.111111111,0.111111111,0.172839506,0.049382716
avaraikai MR,0.057142857,0.142857143,0.285714286,0.142857143,0.085714286,0.285714286,0
avaraikai KR,0.111428571,0.1,0.211428571,0.194285714,0.085714286,0.154285714,0.142857143
avaraikai NR,0.087649402,0.135458167,0.28685259,0.215139442,0.083665339,0.135458167,0.055776892
banana HR,0,0,0,1,0,0,0
banana LR,0.038461538,0.153846154,0.307692308,0.230769231,0.076923077,0.153846154,0.038461538
banana MR,0.181818182,0.090909091,0.272727273,0.272727273,0,0.090909091,0.090909091
banana KR,0.113438045,0.12390925,0.230366492,0.176265271,0.085514834,0.164048866,0.106457243
banana NR,0.052173913,0.130434783,0.32173913,0.217391304,0.113043478,0.12173913,0.043478261
beans HR,0,0,0.352941176,0.235294118,0.058823529,0.176470588,0.176470588
beans LR,0.04379562,0.218978102,0.284671533,0.167883212,0.138686131,0.124087591,0.02189781
beans MR,0.048780488,0.048780488,0.243902439,0.268292683,0.097560976,0.195121951,0.097560976
beans KR,0.078947368,0.087719298,0.140350877,0.175438596,0.035087719,0.078947368,0.403508772
beans NR,0.146276596,0.125,0.263297872,0.178191489,0.085106383,0.180851064,0.021276596
beet root HR,0,0,0.125,0,0.25,0.625,0
beet root LR,0.063492063,0.174603175,0.285714286,0.126984127,0.222222222,0.111111111,0.015873016
beet root MR,0.088235294,0.176470588,0.441176471,0.117647059,0.029411765,0.147058824,0
beet root KR,0.082446809,0.119680851,0.212765957,0.207446809,0.058510638,0.162234043,0.156914894
beet root NR,0.146938776,0.118367347,0.269387755,0.187755102,0.102040816,0.142857143,0.032653061
brinjal HR,0,0.2,0.16,0.24,0.12,0.28,0
brinjal LR,0.144827586,0.151724138,0.227586207,0.220689655,0.096551724,0.124137931,0.034482759
brinjal MR,0.070175439,0.192982456,0.280701754,0.245614035,0.035087719,0.175438596,0
brinjal KR,0.072916667,0.067708333,0.223958333,0.098958333,0.104166667,0.1875,0.244791667
brinjal NR,0.114006515,0.13029316,0.273615635,0.211726384,0.081433225,0.136807818,0.052117264
cabbage HR,0,0.2,0.2,0,0.2,0.4,0
cabbage LR,0.179487179,0.102564103,0.307692308,0.179487179,0.102564103,0.102564103,0.025641026
cabbage MR,0.04,0.24,0.48,0.08,0,0.16,0
cabbage KR,0.088957055,0.116564417,0.226993865,0.174846626,0.095092025,0.134969325,0.162576687
cabbage NR,0.102739726,0.130136986,0.23630137,0.215753425,0.082191781,0.188356164,0.044520548
capsicum HR,0.333333333,0,0.333333333,0.333333333,0,0,0
capsicum LR,0.142857143,0.214285714,0.071428571,0.285714286,0.142857143,0.142857143,0
capsicum MR,0.1,0,0,0.2,0.3,0.3,0.1
capsicum KR,0.100334448,0.115384615,0.24916388,0.188963211,0.085284281,0.162207358,0.098662207
capsicum NR,0.099009901,0.188118812,0.287128713,0.158415842,0.079207921,0.108910891,0.079207921
chillie LR,0,0.3,0.4,0.2,0,0.1,0
chillie KR,0.099843994,0.124804992,0.244929797,0.188767551,0.087363495,0.157566303,0.096723869
chillie NR,0.135135135,0.108108108,0.256756757,0.175675676,0.094594595,0.148648649,0.081081081
chillie MR,0,0,0,0,1,0,0
cauliflower HR,0,0,0.5,0.25,0,0.25,0
cauliflower LR,0.027777778,0.166666667,0.222222222,0.333333333,0.027777778,0.138888889,0.083333333
cauliflower MR,0.05,0.1,0.25,0.1,0,0.45,0.05
cauliflower KR,0.115768463,0.107784431,0.263473054,0.167664671,0.083832335,0.143712575,0.117764471
cauliflower NR,0.084848485,0.175757576,0.2,0.224242424,0.127272727,0.157575758,0.03030303
carrot HR,0.125,0.375,0.125,0.25,0.125,0,0
carrot LR,0.08988764,0.191011236,0.303370787,0.157303371,0.06741573,0.179775281,0.011235955
carrot MR,0.0625,0.09375,0.25,0.0625,0.15625,0.25,0.125
carrot KR,0.087378641,0.048543689,0.174757282,0.116504854,0.029126214,0.116504854,0.427184466
carrot NR,0.109311741,0.127530364,0.255060729,0.214574899,0.099190283,0.155870445,0.038461538
chow-chow HR,0,0,0,0,0,1,0
chow-chow LR,0.111111111,0.111111111,0.166666667,0.222222222,0.277777778,0.111111111,0
chow-chow MR,0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0
chow-chow KR,0.109612142,0.119730185,0.249578415,0.178752108,0.086003373,0.150084317,0.10623946
chow-chow NR,0.066037736,0.150943396,0.264150943,0.235849057,0.066037736,0.169811321,0.047169811
corn HR,0.5,0,0,0.5,0,0,0
corn LR,0.117647059,0.235294118,0.235294118,0.117647059,0.176470588,0.117647059,0
corn MR,0,0.666666667,0,0.333333333,0,0,0
corn KR,0.107973422,0.119601329,0.239202658,0.186046512,0.088039867,0.147840532,0.111295681
corn NR,0.058823529,0.12745098,0.31372549,0.196078431,0.078431373,0.215686275,0.009803922
cucumber HR,0,0,1,0,0,0,0
cucumber LR,0.111111111,0.222222222,0.222222222,0,0.111111111,0.222222222,0.111111111
cucumber MR,0,0,0.5,0.5,0,0,0
cucumber KR,0.104199067,0.115085537,0.250388802,0.189735614,0.087091757,0.153965785,0.099533437
cucumber NR,0.086956522,0.217391304,0.202898551,0.173913043,0.101449275,0.173913043,0.043478261
drumstick KR,0.051020408,0.12244898,0.091836735,0.163265306,0.030612245,0.12244898,0.418367347
drumstick HR,0,0,0.6,0.4,0,0,0
drumstick LR,0.073170732,0.134146341,0.243902439,0.256097561,0.109756098,0.134146341,0.048780488
drumstick MR,0.107142857,0.178571429,0.285714286,0.178571429,0.035714286,0.160714286,0.053571429
drumstick NR,0.117525773,0.119587629,0.272164948,0.179381443,0.103092784,0.167010309,0.041237113
greens HR,0.142857143,0.142857143,0.238095238,0.19047619,0.095238095,0.095238095,0.095238095
greens LR,0.092592593,0.141975309,0.314814815,0.12962963,0.148148148,0.160493827,0.012345679
greens MR,0.115384615,0.128205128,0.333333333,0.166666667,0.051282051,0.115384615,0.08974359
greens KR,0.072916667,0.052083333,0.09375,0.229166667,0.03125,0.104166667,0.416666667
greens NR,0.108401084,0.135501355,0.241192412,0.20596206,0.08401084,0.178861789,0.046070461
gourds HR,0.333333333,0.333333333,0,0,0.333333333,0,0
gourds LR,0.063829787,0.170212766,0.255319149,0.234042553,0.106382979,0.159574468,0.010638298
gourds MR,0.125,0.15625,0.3125,0.09375,0.125,0.15625,0.03125
gourds KR,0.128342246,0.07486631,0.176470588,0.165775401,0.069518717,0.160427807,0.22459893
gourds NR,0.095121951,0.134146341,0.275609756,0.195121951,0.087804878,0.153658537,0.058536585
kovaikai HR,0,0,0,0,0.666666667,0,0.333333333
