A/C,UO,RO,RU,N,U,O,R
Milk(P) LR,0.074074074,0.061728395,0.098765432,0.061728395,0.358024691,0.12345679,0.222222222
Milk(P) MR,0.129032258,0.161290323,0.064516129,0,0.258064516,0.129032258,0.258064516
Milk( C ) HR,0,0,0.5,0,0,0.5,0
Milk( C ) KR,0.069767442,0.085271318,0.080620155,0.102325581,0.243410853,0.156589147,0.262015504
Milk( C ) NR,0.113207547,0.056603774,0.075471698,0,0.377358491,0.150943396,0.226415094
Milk( C ) LR,0.1875,0.0625,0.0625,0.125,0.3125,0.1875,0.0625
Milk( C ) MR,0,0.428571429,0.428571429,0,0.142857143,0,0
curd HR,0,0,0.166666667,0,0.333333333,0,0.5
curd KR,0.06993007,0.090909091,0.08041958,0.146853147,0.20979021,0.129370629,0.272727273
curd NR,0.083870968,0.093548387,0.070967742,0.074193548,0.248387097,0.158064516,0.270967742
curd LR,0.067567568,0.054054054,0.108108108,0.027027027,0.378378378,0.175675676,0.189189189
curd MR,0.063829787,0.063829787,0.14893617,0.021276596,0.340425532,0.29787234,0.063829787
coffee HR,0,0,0.1,0,0.3,0.4,0.2
coffee KR,0.069306931,0.081188119,0.079207921,0.126732673,0.22970297,0.134653465,0.279207921
coffee NR,0.074766355,0.168224299,0.056074766,0.018691589,0.308411215,0.177570093,0.196261682
coffee LR,0.089552239,0.029850746,0.164179104,0.014925373,0.358208955,0.194029851,0.149253731
coffee MR,0.147058824,0.029411765,0.088235294,0.029411765,0.205882353,0.264705882,0.235294118
tea HR,0.181818182,0.060606061,0.060606061,0.03030303,0.212121212,0.333333333,0.121212121
tea KR,0.072,0.082666667,0.088,0.133333333,0.226666667,0.141333333,0.256
tea NR,0.0859375,0.078125,0.0625,0.0625,0.28125,0.15625,0.2734375
tea LR,0.044642857,0.089285714,0.125,0.053571429,0.285714286,0.1875,0.214285714
tea MR,0.066666667,0.12,0.053333333,0.04,0.306666667,0.106666667,0.306666667
beef KR,0.073836276,0.086677368,0.083467095,0.101123596,0.243980738,0.154093098,0.25682183
beef MR,0.2,0.2,0,0.1,0.3,0.2,0
beef NR,0.046153846,0.076923077,0.123076923,0.015384615,0.261538462,0.2,0.276923077
beef LR,0.12,0.04,0.04,0.12,0.44,0.08,0.16
chicken HR,0.090909091,0.181818182,0.090909091,0.090909091,0.454545455,0,0.090909091
chicken KR,0.070895522,0.055970149,0.063432836,0.190298507,0.231343284,0.171641791,0.21641791
chicken NR,0.086466165,0.105263158,0.086466165,0.033834586,0.233082707,0.15037594,0.304511278
chicken LR,0.054054054,0.099099099,0.126126126,0.027027027,0.333333333,0.135135135,0.225225225
chicken MR,0.074626866,0.089552239,0.089552239,0.059701493,0.253731343,0.179104478,0.253731343
mutton HR,0,0.2,0.066666667,0.066666667,0.4,0.133333333,0.133333333
mutton KR,0.061971831,0.073239437,0.073239437,0.143661972,0.233802817,0.14084507,0.273239437
mutton NR,0.079812207,0.103286385,0.093896714,0.051643192,0.253521127,0.197183099,0.220657277
mutton LR,0.115384615,0.102564103,0.08974359,0.012820513,0.307692308,0.128205128,0.243589744
mutton MR,0.096774194,0.048387097,0.112903226,0.064516129,0.258064516,0.14516129,0.274193548
egg HR,0.076923077,0.230769231,0,0.230769231,0.230769231,0.076923077,0.153846154
egg KR,0.044843049,0.071748879,0.067264574,0.192825112,0.286995516,0.147982063,0.188340807
egg NR,0.06984127,0.098412698,0.092063492,0.053968254,0.228571429,0.165079365,0.292063492
egg LR,0.104166667,0.052083333,0.09375,0.052083333,0.270833333,0.166666667,0.260416667
egg MR,0.144736842,0.092105263,0.105263158,0,0.236842105,0.144736842,0.276315789
fish1 HR,0,0,0,0,0.666666667,0,0.333333333
fish1 KR,0.0625,0.08203125,0.0625,0.18359375,0.25,0.1640625,0.1953125
fish1 NR,0.064885496,0.099236641,0.08778626,0.045801527,0.240458015,0.129770992,0.332061069
fish1 LR,0.107913669,0.079136691,0.107913669,0.021582734,0.251798561,0.179856115,0.251798561
fish1 MR,0.095238095,0.063492063,0.111111111,0.095238095,0.301587302,0.19047619,0.142857143
fish2 HR,0,0,0,0,0.5,0,0.5
fish2 KR,0.072222222,0.086111111,0.069444444,0.144444444,0.244444444,0.15,0.233333333
fish2 NR,0.078358209,0.085820896,0.097014925,0.052238806,0.25,0.152985075,0.28358209
fish2 LR,0.058823529,0.073529412,0.102941176,0.029411765,0.323529412,0.191176471,0.220588235
fish2 MR,0.12,0.12,0.12,0,0.2,0.2,0.24
crab HR,0.266666667,0.133333333,0.133333333,0,0.066666667,0.133333333,0.266666667
crab KR,0.06042885,0.079922027,0.07797271,0.1208577,0.255360624,0.157894737,0.247563353
crab NR,0.08411215,0.065420561,0.08411215,0.009345794,0.271028037,0.186915888,0.299065421
crab LR,0.071428571,0.089285714,0.142857143,0.053571429,0.267857143,0.178571429,0.196428571
crab MR,0.1875,0.21875,0.0625,0.0625,0.21875,0,0.25
prawns HR,0.076923077,0.076923077,0.153846154,0,0.269230769,0.192307692,0.230769231
prawns KR,0.070028011,0.086834734,0.078431373,0.145658263,0.235294118,0.165266106,0.218487395
prawns NR,0.071770335,0.076555024,0.086124402,0.052631579,0.267942584,0.153110048,0.291866029
prawns LR,0.094117647,0.070588235,0.094117647,0.047058824,0.235294118,0.117647059,0.341176471
prawns MR,0.086956522,0.152173913,0.065217391,0.02173913,0.347826087,0.152173913,0.173913043
shark HR,0,0,0,0,1,0,0
shark KR,0.075667656,0.087537092,0.080118694,0.099406528,0.253709199,0.15727003,0.246290801
shark NR,0.068181818,0.045454545,0.113636364,0.022727273,0.25,0.136363636,0.363636364
shark LR,0,0.333333333,0.333333333,0,0,0.333333333,0
shark MR,0,0,1,0,0,0,0
avaraikai HR,0.142857143,0.142857143,0.142857143,0,0.428571429,0.142857143,0
avaraikai KR,0.067605634,0.090140845,0.067605634,0.135211268,0.214084507,0.146478873,0.278873239
avaraikai NR,0.078740157,0.070866142,0.090551181,0.062992126,0.287401575,0.141732283,0.267716535
avaraikai LR,0.086956522,0.130434783,0.130434783,0.057971014,0.246376812,0.202898551,0.144927536
avaraikai MR,0.078947368,0.052631579,0.105263158,0,0.368421053,0.263157895,0.131578947
banana HR,0,0,0,0,0.5,0,0.5
banana KR,0.07530648,0.096322242,0.078809107,0.106830123,0.241681261,0.166374781,0.234676007
banana NR,0.078947368,0.043859649,0.105263158,0.035087719,0.315789474,0.122807018,0.298245614
banana LR,0.083333333,0.041666667,0.125,0.041666667,0.25,0.125,0.333333333
banana MR,0,0.083333333,0.083333333,0.166666667,0.166666667,0.083333333,0.416666667
beans HR,0.052631579,0,0,0.052631579,0.368421053,0.157894737,0.368421053
beans KR,0.034782609,0.07826087,0.052173913,0.382608696,0.147826087,0.086956522,0.217391304
beans NR,0.072192513,0.117647059,0.082887701,0.032085561,0.272727273,0.187165775,0.235294118
beans LR,0.114503817,0.038167939,0.160305344,0.030534351,0.312977099,0.122137405,0.221374046
beans MR,0.083333333,0.047619048,0.035714286,0.083333333,0.19047619,0.166666667,0.392857143
beet root HR,0.285714286,0,0,0,0.142857143,0.571428571,0
beet root KR,0.051075269,0.077956989,0.080645161,0.14516129,0.225806452,0.158602151,0.260752688
beet root NR,0.083665339,0.103585657,0.079681275,0.051792829,0.262948207,0.147410359,0.270916335
beet root LR,0.177419355,0.064516129,0.096774194,0.016129032,0.338709677,0.112903226,0.193548387
beet root MR,0.032258065,0.096774194,0.161290323,0,0.35483871,0.193548387,0.161290323
brinjal HR,0.142857143,0,0.095238095,0,0.142857143,0.285714286,0.333333333
brinjal KR,0.079207921,0.059405941,0.059405941,0.232673267,0.257425743,0.178217822,0.133663366
brinjal NR,0.069536424,0.09602649,0.079470199,0.049668874,0.28807947,0.135761589,0.281456954
