A/C,R,U,RU,RO,O,UO,N
carrot LR,0.183908046,0.379310345,0.137931034,0.068965517,0.16091954,0.057471264,0.011494253
chow-chow MR,0.166666667,0.333333333,0.166666667,0,0.166666667,0.166666667,0
chow-chow KR,0.205574913,0.339721254,0.083623693,0.094076655,0.12543554,0.074912892,0.076655052
chow-chow HR,0,0.25,0,0,0.75,0,0
chow-chow NR,0.243697479,0.378151261,0.092436975,0.050420168,0.142857143,0.050420168,0.042016807
chow-chow LR,0.19047619,0.380952381,0.047619048,0.095238095,0.095238095,0.19047619,0
corn MR,0.2,0.6,0.2,0,0,0,0
corn KR,0.213087248,0.332214765,0.082214765,0.090604027,0.129194631,0.072147651,0.080536913
corn HR,0.333333333,0.333333333,0,0.333333333,0,0,0
corn NR,0.205882353,0.411764706,0.088235294,0.049019608,0.156862745,0.078431373,0.009803922
corn LR,0.111111111,0.388888889,0.111111111,0.111111111,0.111111111,0.166666667,0
cucumber MR,0.5,0.5,0,0,0,0,0
cucumber KR,0.2074883,0.355694228,0.076443058,0.085803432,0.131045242,0.073322933,0.070202808
cucumber HR,0,1,0,0,0,0,0
cucumber NR,0.235294118,0.264705882,0.147058824,0.088235294,0.132352941,0.088235294,0.044117647
cucumber LR,0.1,0.2,0.2,0.1,0.2,0.1,0.1
drumstick MR,0.236363636,0.363636364,0.090909091,0.090909091,0.145454545,0.036363636,0.036363636
drumstick KR,0.2,0.176470588,0.094117647,0.047058824,0.105882353,0.035294118,0.341176471
drumstick HR,0.333333333,0.666666667,0,0,0,0,0
drumstick NR,0.197979798,0.371717172,0.082828283,0.096969697,0.139393939,0.082828283,0.028282828
drumstick LR,0.265060241,0.337349398,0.084337349,0.060240964,0.108433735,0.096385542,0.048192771
greens MR,0.188235294,0.411764706,0.094117647,0.105882353,0.105882353,0.047058824,0.047058824
greens KR,0.26744186,0.186046512,0.034883721,0.058139535,0.093023256,0.023255814,0.337209302
greens HR,0.25,0.3,0.1,0.1,0.1,0.1,0.05
greens NR,0.225543478,0.350543478,0.089673913,0.086956522,0.141304348,0.070652174,0.035326087
greens LR,0.151515152,0.393939394,0.090909091,0.084848485,0.145454545,0.121212121,0.012121212
gourds MR,0.096774194,0.387096774,0.129032258,0.129032258,0.129032258,0.096774194,0.032258065
gourds KR,0.182857143,0.268571429,0.062857143,0.102857143,0.154285714,0.057142857,0.171428571
gourds HR,0,0.25,0.25,0.25,0,0.25,0
gourds NR,0.222222222,0.379227053,0.084541063,0.079710145,0.120772947,0.072463768,0.041062802
gourds LR,0.25,0.34,0.1,0.06,0.14,0.1,0.01
kovaikai MR,0,0.5,0.25,0,0.25,0,0
kovaikai KR,0.205263158,0.342105263,0.085964912,0.094736842,0.129824561,0.070175439,0.071929825
kovaikai HR,0,0,0,0,0,0.5,0.5
kovaikai NR,0.223076923,0.369230769,0.084615385,0.053846154,0.138461538,0.084615385,0.046153846
kovaikai LR,0.333333333,0.333333333,0,0.055555556,0.111111111,0.111111111,0.055555556
kothavarai NR,0.226415094,0.358490566,0.094339623,0.075471698,0.094339623,0.094339623,0.056603774
kothavarai LR,0.111111111,0.444444444,0.333333333,0.111111111,0,0,0
kothavarai KR,0.209969789,0.344410876,0.080060423,0.086102719,0.135951662,0.074018127,0.069486405
L finger MR,0.191666667,0.408333333,0.116666667,0.075,0.1,0.066666667,0.041666667
L finger KR,0.20952381,0.238095238,0.066666667,0.076190476,0.066666667,0.057142857,0.285714286
L finger HR,0.161290323,0.322580645,0.161290323,0.032258065,0.225806452,0.096774194,0
L finger NR,0.194444444,0.357638889,0.065972222,0.100694444,0.166666667,0.079861111,0.034722222
L finger LR,0.255555556,0.355555556,0.088888889,0.083333333,0.116666667,0.077777778,0.022222222
malli MR,0.3,0.2,0,0,0.4,0,0.1
malli KR,0.206349206,0.347222222,0.087301587,0.08531746,0.126984127,0.069444444,0.077380952
malli HR,1,0,0,0,0,0,0
malli NR,0.212765957,0.340425532,0.079787234,0.095744681,0.132978723,0.095744681,0.042553191
malli LR,0.19047619,0.476190476,0.095238095,0.047619048,0.095238095,0.047619048,0.047619048
mango MR,0,0.625,0.125,0.125,0,0.125,0
mango KR,0.227805695,0.324958124,0.090452261,0.088777219,0.130653266,0.065326633,0.072026801
mango HR,0,0.75,0,0,0.25,0,0
mango NR,0.141304348,0.445652174,0.054347826,0.076086957,0.097826087,0.130434783,0.054347826
mango LR,0.130434783,0.347826087,0.043478261,0.043478261,0.304347826,0.086956522,0.043478261
mushroom MR,0.285714286,0.428571429,0,0,0.142857143,0.142857143,0
mushroom KR,0.207815275,0.3339254,0.087033748,0.090586146,0.129662522,0.072824156,0.078152753
mushroom HR,0,0.333333333,0,0,0.333333333,0,0.333333333
mushroom NR,0.196969697,0.439393939,0.053030303,0.075757576,0.121212121,0.090909091,0.022727273
mushroom LR,0.368421053,0.052631579,0.263157895,0.052631579,0.210526316,0,0.052631579
nuckol MR,0,0.5,0.5,0,0,0,0
nuckol KR,0.218604651,0.339534884,0.085271318,0.082170543,0.131782946,0.075968992,0.066666667
nuckol HR,0,0,0,0,0,0.5,0.5
nuckol NR,0.171875,0.421875,0.046875,0.125,0.140625,0.0625,0.03125
nuckol LR,0,0.363636364,0.181818182,0.090909091,0.090909091,0,0.272727273
onion MR,0.113636364,0.431818182,0.113636364,0.113636364,0.159090909,0.045454545,0.022727273
onion KR,0.108695652,0.130434783,0.065217391,0,0.065217391,0,0.630434783
onion HR,0.166666667,0.333333333,0,0.333333333,0,0.166666667,0
onion NR,0.225621415,0.357552581,0.084130019,0.091778203,0.133843212,0.07456979,0.03250478
onion LR,0.219047619,0.352380952,0.085714286,0.066666667,0.142857143,0.114285714,0.019047619
peas MR,0.3,0.3,0,0,0.3,0.1,0
peas KR,0.195833333,0.354166667,0.064583333,0.1,0.11875,0.0875,0.079166667
peas HR,0,1,0,0,0,0,0
peas NR,0.251282051,0.312820513,0.123076923,0.066666667,0.158974359,0.046153846,0.041025641
peas LR,0.162162162,0.405405405,0.162162162,0.027027027,0.108108108,0.054054054,0.081081081
potroot MR,0.285714286,0.333333333,0.142857143,0.047619048,0.19047619,0,0
potroot KR,0.180094787,0.338862559,0.066350711,0.085308057,0.161137441,0.075829384,0.092417062
potroot HR,0.2,0,0.2,0.4,0.2,0,0
potroot NR,0.259911894,0.348017621,0.105726872,0.092511013,0.079295154,0.074889868,0.039647577
potroot LR,0.204081633,0.448979592,0.102040816,0.040816327,0.081632653,0.102040816,0.020408163
paneer MR,0.555555556,0.111111111,0.111111111,0,0.222222222,0,0
paneer KR,0.197207679,0.347294939,0.076788831,0.089005236,0.129144852,0.076788831,0.083769634
paneer HR,0,0.5,0,0,0.5,0,0
paneer NR,0.245762712,0.338983051,0.127118644,0.084745763,0.127118644,0.06779661,0.008474576
paneer LR,0.227272727,0.454545455,0.045454545,0.045454545,0.136363636,0.090909091,0
potato MR,0.114285714,0.571428571,0.085714286,0.085714286,0.028571429,0.114285714,0
potato KR,0.094827586,0.25,0.077586207,0.060344828,0.137931034,0.094827586,0.284482759
potato HR,0.272727273,0.272727273,0.090909091,0.090909091,0.090909091,0.181818182,0
potato NR,0.257019438,0.343412527,0.073434125,0.09287257,0.13174946,0.071274298,0.030237581
potato LR,0.151515152,0.404040404,0.141414141,0.080808081,0.161616162,0.04040404,0.02020202
pumkin MR,0.142857143,0.571428571,0.285714286,0,0,0,0
pumkin KR,0.217755444,0.340033501,0.073701843,0.087102178,0.13400335,0.072026801,0.075376884
pumkin HR,0,0.5,0.5,0,0,0,0
pumkin NR,0.159574468,0.404255319,0.074468085,0.074468085,0.14893617,0.095744681,0.042553191
pumkin LR,0.25,0.208333333,0.291666667,0.125,0.041666667,0.083333333,0
